"","TeamSeason","Season.x","Team.x","PACE","AST","TO","ORR","DRR","REBR","EFF FG%","TS%","OFF EFF","DEF EFF","Off_Deff_Diff","countWinsPlayoffs","countLossesPlayoffs","descriptionNBAFinalsAppearance","isConferenceChampion","isNBAChampion","PlayoffGames","PlayoffWinPercentage","Round","TeamNickname"
"34","Boston Celtics 2018-19","2018-19","Boston Celtics",102,19,11.5,21.6,77,49.3,53.4,56.7,110.1,104.9,5.19999999999999,4,0,NA,FALSE,NA,4,1,"Conf. Semis","Celtics"
"51","Brooklyn Nets 2018-19","2018-19","Brooklyn Nets",103.4,17,13,23.8,76.4,50.2,52,55.6,106.9,107,-0.0999999999999943,1,4,NA,FALSE,NA,5,0.2,"First Round","Nets"
"134","Denver Nuggets 2018-19","2018-19","Denver Nuggets",100.1,19.5,11.9,26.6,78,52.2,52.7,55.8,109.8,106.8,3,3,3,NA,FALSE,NA,6,0.5,"First Round","Nuggets"
"151","Detroit Pistons 2018-19","2018-19","Detroit Pistons",99.7,16.7,12.3,24.8,78.7,50.7,50.9,54.4,106.1,106.9,-0.800000000000011,0,4,NA,FALSE,NA,4,0,NA,"Pistons"
"168","Golden State Warriors 2018-19","2018-19","Golden State Warriors",103.2,20.7,12.6,22.5,77.1,51,56.5,59.6,113.9,106.5,7.40000000000001,3,2,NA,FALSE,NA,5,0.6,"First Round","Warriors"
"185","Houston Rockets 2018-19","2018-19","Houston Rockets",100.4,16,12,22.8,74.4,48.1,54.2,58.1,112.5,107.9,4.59999999999999,4,1,NA,FALSE,NA,5,0.8,"Conf. Semis","Rockets"
"202","Indiana Pacers 2018-19","2018-19","Indiana Pacers",100.4,19.1,12.4,21.9,76.2,49.6,53,56.1,107.3,104.2,3.09999999999999,0,4,NA,FALSE,NA,4,0,NA,"Pacers"
"219","Los Angeles Clippers 2018-19","2018-19","Los Angeles Clippers",104.1,17.3,12.7,22,76,49.9,52.9,57.5,109.7,109,0.700000000000003,2,3,NA,FALSE,NA,5,0.4,"First Round","Clippers"
"287","Milwaukee Bucks 2018-19","2018-19","Milwaukee Bucks",105.4,18.4,12,20.8,80.3,52.3,55,58.3,111.5,103,8.5,4,0,NA,FALSE,NA,4,1,"Conf. Semis","Bucks"
"353","Oklahoma City Thunder 2018-19","2018-19","Oklahoma City Thunder",105.3,16.4,11.7,26,78.2,51.3,51.4,54.5,107.6,104.7,2.89999999999999,1,4,NA,FALSE,NA,5,0.2,"First Round","Thunder"
"370","Orlando Magic 2018-19","2018-19","Orlando Magic",100.3,18.7,11.9,22,79.7,50.4,51.8,55,106.5,105.8,0.700000000000003,1,4,NA,FALSE,NA,5,0.2,"First Round","Magic"
"387","Philadelphia 76ers 2018-19","2018-19","Philadelphia 76ers",104,18.9,12.9,24.5,78.6,52.3,53.2,57.4,110.4,107.1,3.30000000000001,4,1,NA,FALSE,NA,5,0.8,"Conf. Semis","76ers"
"421","Portland Trail Blazers 2018-19","2018-19","Portland Trail Blazers",101.6,16.7,12.1,26.6,77.9,52.8,52.8,56.9,111.4,108.1,3.30000000000001,4,1,NA,FALSE,NA,5,0.8,"Conf. Semis","Blazers"
"455","San Antonio Spurs 2018-19","2018-19","San Antonio Spurs",100.4,18.3,11,21,79.4,50.5,53.4,57.2,111.1,108.3,2.8,3,3,NA,FALSE,NA,6,0.5,"First Round","Spurs"
"472","Toronto Raptors 2018-19","2018-19","Toronto Raptors",102.5,18.4,12.4,21.9,77.1,50.2,54.3,57.9,110.9,104.3,6.60000000000001,4,1,NA,FALSE,NA,5,0.8,"Conf. Semis","Raptors"
"489","Utah Jazz 2018-19","2018-19","Utah Jazz",102.5,18.8,13.4,22.9,80.3,52.1,53.8,57.2,108.8,103.2,5.59999999999999,1,4,NA,FALSE,NA,5,0.2,"First Round","Jazz"
